Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
"CONTROL,SIGHT,TARGE","CONTROL,SIGHT,TARGE",Grant Authority,1/1/2018,Army,Greece,Service Authorized to Supply EDA,10/31/2018,4,4,0,0,0,73784,22135.2,-70.00%,303,3290.7664
CH-53D Heavy Lift Helicopter,CH-53D Heavy Lift Helicopter,Grant Authority,1/1/2018,Navy,Israel,Service Authorized to Supply EDA,10/31/2018,5,5,0,0,0,115700000,5785000,-95.00%,303,4234620
"RANGE FINDER,LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,10/31/2018,6,6,0,0,6,1019634,305890.2,-70.00%,303,45475.6764
"MOUNT,RIFLE","MOUNT,RIFLE",Grant Authority,1/1/2018,Army,Greece,Service Authorized to Supply EDA,10/31/2018,7,7,0,0,0,1120,336,-70.00%,303,49.952
RADIO SET,RADIO SET,Grant Authority,1/1/2018,Army,Greece,Service Authorized to Supply EDA,10/31/2018,8,8,0,0,0,256792,77037.6,-70.00%,303,11452.9232
"RANGE FINDER,LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Greece,Service Authorized to Supply EDA,10/31/2018,10,10,0,0,0,1699390,509817,-70.00%,303,75792.794
T64 Engine,T64 Engine,Grant Authority,1/1/2018,Navy,Israel,Service Authorized to Supply EDA,10/31/2018,10,10,0,0,0,10163530,508170,-95.00%,303,371984.99
"PLATFORM ASSEMBLY,C","PLATFORM ASSEMBLY,C",Grant Authority,1/1/2018,Army,Greece,Service Authorized to Supply EDA,10/31/2018,11,11,0,0,0,4793921,1438176.3,-70.00%,303,213808.8766
"PROCESSOR,SYSTEM","PROCESSOR,SYSTEM",Grant Authority,1/1/2018,Army,Greece,Service Authorized to Supply EDA,10/31/2018,12,12,0,0,0,2692428,807728.4,-70.00%,303,120082.2888
"TRAILER, CARGO M1102","TRAILER, CARGO M1102",Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Israel,EDA Delivered,10/31/2018,27,27,0,0,1,241758,72527.4,-70.00%,668,10782.4068
"PERISCOPE, ARMORED VEHICLE, M113/LAV/ACE","PERISCOPE, ARMORED VEHICLE, M113/LAV/ACE",Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Israel,EDA Delivered,10/31/2018,31,31,0,0,31,32652.3,16326.15,-50.00%,668,1665.2673
RANGE FINDER-TARGET,RANGE FINDER-TARGET,Grant Authority,1/1/2018,Army,Greece,EDA Delivered,11/1/2018,5,5,0,0,4,849695,254908.5,-70.00%,304,37896.397
"RANGE FINDER, LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,11/1/2018,19,19,0,0,19,3228841,968652.3,-70.00%,304,144006.3086
"RANGE FINDER, LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,11/1/2018,19,19,0,0,19,3228841,968652.3,-70.00%,304,144006.3086
MAXXPRO LONG WHEEL BASE (LWB) (ROLLING CHASSIS),MAXXPRO LONG WHEEL BASE (LWB) (ROLLING CHASSIS),FMS Sales,1/1/2014,Army,United Arab Emirates,EDA Delivered,11/1/2018,1085,1085,1085,0,703,307938190,61587638,-80.00%,1765,12748641.07
TARGET DESIGNATOR S,TARGET DESIGNATOR S,Grant Authority,1/1/2018,Army,Greece,EDA Delivered,11/7/2018,10,10,0,0,10,3144280,943284,-70.00%,310,140234.888
"RANGE FINDER,LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Tunisia,EDA Delivered,11/20/2018,1,1,0,0,1,169939,50981.7,-70.00%,323,7579.2794
"RANGE FINDER,LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Tunisia,EDA Delivered,11/20/2018,4,4,0,0,4,679756,203926.8,-70.00%,323,30317.1176
"RANGE FINDER,LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Tunisia,EDA Delivered,11/20/2018,6,6,0,0,6,1019634,305890.2,-70.00%,323,45475.6764
"TVS ASSEMBLY,LASER","TVS ASSEMBLY, LASER",Grant Authority,1/1/2018,Army,Tunisia,EDA Delivered,11/20/2018,10,10,0,0,10,2705440,811632,-70.00%,323,120662.624
"RANGE FINDER,LASER","RANGE FINDER,LASER",Grant Authority,1/1/2018,Army,Tunisia,EDA Delivered,11/20/2018,10,10,0,0,10,1699390,509817,-70.00%,323,75792.794
TRUCK CARGO M1083A1 WOW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Israel,EDA Delivered,11/26/2018,1,1,0,0,1,184333,55299.9,-70.00%,694,8221.2518
TRUCK CARGO M1083 WW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Israel,EDA Delivered,11/26/2018,2,2,0,0,8,268094,26809.4,-90.00%,694,10241.1908
"MEDIUM RECOVERY VEHICLE (MRV), M88A1 or similar","MEDIUM RECOVERY VEHICLE (MRV), M88A1 or similar",Grant Authority,1/1/2017,Army,Egypt,EDA Delivered,11/26/2018,31,31,0,0,23,37533405,3753340.5,-90.00%,694,1433776.071
COMMUNICATION EQUIPMENT,COMMUNICATION EQUIPMENT,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,11/26/2018,-999,None,-999,-999,-999,266437.53,79913.26,-70.01%,329,11882.53787
"PLATFORM ASSEMBLY,C","PLATFORM ASSEMBLY,C",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,12/4/2018,2,2,0,0,2,871622,261486.6,-70.00%,337,38874.3412
"CAMOUFLAGE NET SYSTEM,RADAR TRANSPARENT","CAMOUFLAGE NET SYSTEM,RADAR TRANSPARENT",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Argentina,EDA Delivered,12/7/2018,8,8,0,0,7,12728,6364,-50.00%,340,649.128
"CAMOUFLAGE NET SYSTEM,RADAR SCATTERING","CAMOUFLAGE NET SYSTEM,RADAR SCATTERING",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Argentina,EDA Delivered,12/7/2018,300,300,0,0,300,430200,215100,-50.00%,340,21940.2
"Ctg., 20mm M55","Ctg., 20mm M55",Grant Authority,1/1/2019,Army,Bahrain,EDA Accepted/LOA Implemented,12/10/2018,2500,2500,0,0,0,4525,1357.5,-70.00%,22,201.815
"CARTRIDGE, 50 CAL 4 Ball M33/1 Tracer M17 Linked","CARTRIDGE, 50 CAL 4 Ball M33/1 Tracer M17 Linked",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,12/12/2018,36591,36591,0,0,36591,51593.31,15477.99,-70.00%,710,2301.06153
MAINTENANCE SUPPORT EQUIPMENT AND SUPPLIES,MAINTENANCE SUPPORT EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2016,Defense Logistics Agency (DLA),Israel,EDA Delivered,12/19/2018,0,0,0,0,17,811918.97,243575.69,-70.00%,1083,36211.58603
RADIO SET,RADIO SET,Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,12/20/2018,1,1,0,0,1,32099,9629.7,-70.00%,353,1431.6154
WPB OUTFIT AND EQUIPMENT,WPB OUTFIT AND EQUIPMENT,Grant Authority,1/1/2016,Navy,Ukraine,EDA Delivered,12/20/2018,2,2,0,0,2,990000,99000,-90.00%,1084,37818
USCG ISLAND CLASS PATROL BOAT (WPB),USCG ISLAND CLASS PATROL BOAT (WPB),Grant Authority,1/1/2016,Navy,Ukraine,EDA Delivered,12/20/2018,2,2,0,0,2,14000000,1400000,-90.00%,1084,534800
"CONTROL,SIGHT,TARGE","CONTROL,SIGHT,TARGE",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,12/26/2018,2,2,0,0,1,36892,11067.6,-70.00%,359,1645.3832
"M119A2 Propelling Charges, (155mm Howitzer)","M119A2 Propelling Charges, (155mm Howitzer)",Grant Authority,1/1/2017,Army,Turkey,EDA Delivered,12/28/2018,50000,50000,0,0,50000,11350000,3405000,-70.00%,726,506210
OUTFIT AND EQUIMENT (MK V SOC),OUTFIT AND EQUIMENT (MK V SOC),Grant Authority,1/1/2016,Navy,Bahrain,EDA Delivered,12/31/2018,0,0,0,0,2,2500000,250000,-90.00%,1095,95500
"SENSOR ASSEMBLY,LIG","SENSOR ASSEMBLY,LIG",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,12/31/2018,1,1,0,0,1,935,280.5,-70.00%,364,41.701
"TVS ASSEMBLY, LASER","TVS ASSEMBLY, LASER",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,1/8/2019,24,24,0,0,5,6493056,1947916.8,-70.00%,372,289590.2976
"Detonator, Percussion M1A2 , ( 15 Sec-Delay)","Detonator, Percussion M1A2 , ( 15 Sec-Delay)",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/12/2019,3672,3672,0,0,3672,72154.8,21646.44,-70.00%,741,3218.10408
"Signal, Smoke Ground Red, M129A1","Signal, Smoke Ground Red, M129A1",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/12/2019,8096,3412,0,0,3412,142382.76,42714.83,-70.00%,741,6350.27116
"CHARGE, DEMOLITION. MK 133MOD 0 W/CHAIN OF 8","CHARGE, DEMOLITION. MK 133MOD 0 W/CHAIN OF 8",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/12/2019,13538,13538,0,0,100,3587570,1076271,-70.00%,741,160005.622
"CARTRIDGE, 50 CAL Ball M2 , Carton Pack","CARTRIDGE, 50 CAL Ball M2 , Carton Pack",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/12/2019,29347,29347,0,0,29347,10271.45,3081.43,-70.00%,741,458.10651
"CARTRIDGE, 20 MM TP M55A2, Single Linked","CARTRIDGE, 20 MM TP M55A2, Single Linked",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/12/2019,42000,37500,0,0,37500,130500,39150,-70.00%,741,5820.3
"CARTRIDGE, 22 CAL Tracer Practice M861","CARTRIDGE, 22 CAL Tracer Practice M861",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/12/2019,126216,126000,0,0,126000,8820,2646,-70.00%,741,393.372
"CARTRIDGE, 106 MM HEAT, M344A1 W/Fuze PIBD","CARTRIDGE, 106 MM HEAT, M344A1 W/Fuze PIBD",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/14/2019,120,120,0,0,120,24960,7488,-70.00%,743,1113.216
"PROCESSOR,SYSTEM","PROCESSOR,SYSTEM",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,1/15/2019,7,7,0,0,7,1570583,471174.9,-70.00%,379,70048.0018
"CARTRIDGE, 50 CAL Blank, M1 linked","CARTRIDGE, 50 CAL Blank, M1 linked",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/15/2019,3200,3200,0,0,3200,2272,681.6,-70.00%,744,101.3312
"Signal, Smoke Ground Green, M128A1","Signal, Smoke Ground Green, M128A1",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/15/2019,9964,2743,0,0,2743,110268.6,33080.58,-70.00%,744,4917.97956
"CARTRIDGE, 20 MM HEI M56A3 , Linked","CARTRIDGE, 20 MM HEI M56A3 , Linked",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/15/2019,28084,28084,0,0,4584,80601.08,24180.32,-70.00%,744,3594.80804
"CARTRIDGE, 50 CAL, Incendiary, M23, Linked","CARTRIDGE, 50 CAL, Incendiary, M23, Linked",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/15/2019,1606115,1606115,0,0,1606115,722751.75,216825.53,-70.00%,744,32234.72821
"CARTRIDGE, 40 MM Multi - Purpose, M576","CARTRIDGE, 40 MM Multi - Purpose, M576",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/16/2019,78221,78221,0,0,78221,751703.81,225511.14,-70.00%,745,33525.98983
"CARTRIDGE, 50 CAL AP, M2 Single Round","CARTRIDGE, 50 CAL AP, M2 Single Round",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/16/2019,129000,24194,0,0,24194,7258.2,2177.46,-70.00%,745,323.71572
"CARTRIDGE, 5,56 MM Ball, M855","CARTRIDGE, 5,56 MM Ball, M855",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/16/2019,330791,280391,0,0,280391,199077.61,59723.28,-70.00%,745,8878.86131
"CARTRIDGE, 50 CAL 4API M8/1 Tracer M 17, Linked","CARTRIDGE, 50 CAL 4API M8/1 Tracer M 17, Linked",Grant Authority,1/1/2017,Army,Lebanon,EDA Delivered,1/16/2019,3293574,3293574,0,0,3293574,1294374.58,388312.37,-70.00%,745,57729.10614
"SEMITRAILER, CARGO, M871A1","SEMITRAILER, CARGO, M871A1",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,17921,8960.5,-50.00%,16,913.971
"SEMITRAILER, LOW BED (COMMERCIAL)","SEMITRAILER, LOW BED (COMMERCIAL)",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,28075.05,14037.52,-50.00%,16,1431.82739
"CLEANER, VACUUM, SELF-PROPELLED","CLEANER, VACUUM, SELF-PROPELLED",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,150375,15037.5,-90.00%,16,5744.325
"TRAILER, VAN , COMMERCIAL","TRAILER, VAN , COMMERCIAL",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,50000,15000,-70.00%,16,2230
"TRUCK TRACTOR, COMMERCIAL","COMMERCIAL, TRUCK, TRACTOR",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,116776,23355.2,-80.00%,16,4834.5264
"TRUCK, MAINTENANCE, COMMERCIAL","TRUCK, MAINTENANCE, COMMERCIAL",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,99120,19824,-80.00%,16,4103.568
"TRUCK, SERVICING PLATFROM, COMM","TRUCK, SERVICING PLATFROM, COMM",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,74753,14950.6,-80.00%,16,3094.7742
"TRUCK, SERVICING PLATFROM, COMM","TRUCK, SERVICING PLATFROM, COMM",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,65599,13119.8,-80.00%,16,2715.7986
"TRUCK, VAN EXP, 5 TON M934A1",TRUCK VAN EXP 5TON M934A1,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,145700,29140,-80.00%,16,6031.98
"TRUCK, VAN","TRUCK, VAN",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,33082,16541,-50.00%,16,1687.182
"TRUCK, CARGO M923A2","TRUCK, CARGO M923A2",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,67139,13427.8,-80.00%,16,2779.5546
"TRUCK VAN,2.5 TON, M1079","TRUCK VAN,2.5 TON, M1079",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,124607,37382.1,-70.00%,16,5557.4722
"TRUCK VAN,2.5 TON, M1079","TRUCK VAN,2.5 TON, M1079",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,124607,24921.4,-80.00%,16,5158.7298
"TRUCK, WRECKER M1089","TRUCK WRECKER, M1089",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,268992,53798.4,-80.00%,16,11136.2688
"TRUCK CARGO, M1083 WW",TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,134047,40214.1,-70.00%,16,5978.4962
"TRUCK CARGO, M1078WW","TRUCK CARGO, M1078WW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,59562,11912.4,-80.00%,16,2465.8668
"TRUCK CARGO, M35A3 WOW","TRUCK CARGO, M35A3 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,56500,11300,-80.00%,16,2339.1
TRUCK TRACTOR M1083A1,TRUCK TRACTOR M1083A1,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,167746,33549.2,-80.00%,16,6944.6844
"TRUCK CARGO, M1078A1 WOW","TRUCK CARGO, M1078WW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,176428,35285.6,-80.00%,16,7304.1192
"TRUCK TRACTOR, M916A3","TRUCK TRACTOR, M916A3",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,166223,33244.6,-80.00%,16,6881.6322
"TRUCK, COMMERCIAL","COMMERCIAL, TRUCK, TRACTOR",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,23194.6,6958.38,-70.00%,16,1034.47916
"TANK, TRAILER",TRAILER TANK,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,1,1,0,0,0,7000,2100,-70.00%,16,312.2
"TRUCK, CARGO M923A1","TRUCK, CARGO M923A1",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,2,2,0,0,0,148900,44670,-70.00%,16,6640.94
"TRUCK, PICKUP",TRUCK PICK UP,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,2,2,0,0,0,51556,10311.2,-80.00%,16,2134.4184
"TRUCK, CARGO M923A2","TRUCK, CARGO M923A2",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,3,3,0,0,0,201417,60425.1,-70.00%,16,8983.1982
"TRUCK, CARGO, M1078","TRUCK, CARGO, M1078",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,4,4,0,0,0,418504,125551.2,-70.00%,16,18665.2784
"TRUCK TRACTOR, M1088 WOW","TRUCK, TRACTOR M1088 W/W",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,4,4,0,0,0,568528,113705.6,-80.00%,16,23537.0592
"TRUCK, CARGO, M1078","TRUCK, CARGO, M1078",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Djibouti,Service Authorized to Supply EDA,1/17/2019,7,7,0,0,0,732382,146476.4,-80.00%,16,30320.6148
"LIGHTING, ALARM AND SIGNAL SYSTEMS","LIGHTING, ALARM, AND SIGNAL SYSTEMS",Grant Authority,1/1/2016,Defense Logistics Agency (DLA),Israel,EDA Delivered,1/17/2019,-999,None,-999,-999,-999,1210756,363227,-70.00%,1112,53999.724
Quick Engine Change Unit Oil Cooler Augmentation,QUICK ENGINE CHANGE UNIT OIL COOLER AUGMENTATION,Grant Authority,1/1/2018,Air Force,Jordan,Service Authorized to Supply EDA,1/25/2019,2,2,0,0,0,807306,80730.6,-90.00%,389,30839.0892
Quick Engine Change Unit Non-Cooler Oil Cooler Augmentation,QUICK ENGINE CHANGE UNIT OIL COOLER AUGMENTATION,Grant Authority,1/1/2018,Air Force,Jordan,Service Authorized to Supply EDA,1/25/2019,3,3,0,0,0,830007,83000.7,-90.00%,389,31706.2674
T56-A-15 Engine,T56-15A Engine,Grant Authority,1/1/2018,Air Force,Jordan,Service Authorized to Supply EDA,1/25/2019,5,5,0,0,0,5336630,1508335.8,-71.74%,389,235048.7956
"CHARGE, PROPELLANT, M203 CC-A","CHARGE, PROPELLANT, M203 CC-A",Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,79,79,0,0,0,22007.03,6602.11,-70.00%,389,981.51357
CTG 25MM TP CC-B,CTG 25MM TP CC-B,Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,275,275,0,0,0,5854.75,1756.42,-70.00%,389,261.12169
CTG 25MM TP CC-A,CTG 25MM TP CC-A,Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,1499,1499,0,0,0,31913.71,9574.11,-70.00%,389,1423.35137
CTG 20MM HEIT-SD CC-A,CTG 20MM HEIT-SD CC-A,Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,4900,4900,0,0,0,104321,31296.3,-70.00%,389,4652.7166
CTG 20MM HEIT-SD CC-B,CTG 20MM HEIT-SD CC-B,Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,9000,9000,0,0,0,191610,57483,-70.00%,389,8545.806
FUZE POINT DETONATING,FUZE POINT DETONATING,Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,26673,26673,0,0,0,452907.54,135872.26,-70.00%,389,20199.67622
CTG 20MM HEIT-SD CC-A,CTG 20MM HEIT-SD CC-A,Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,28000,28000,0,0,0,596120,178836,-70.00%,389,26586.952
"CHARGE, PROPELLANT, M119A2 CC-A","CHARGE, PROPELLANT, M119A2 CC-A",Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,58767,58767,0,0,0,13096813.62,3929044.09,-70.00%,389,584117.8876
DYNAMITE M1 MILITARY,"DYNAMITE, MILITARY, M1",Grant Authority,1/1/2018,Army,Morocco,Service Authorized to Supply EDA,1/25/2019,219160,219160,0,0,0,100813.6,30244.08,-70.00%,389,4496.28656
AN/TPQ-36V(10) Firefinder Radar,AN/TPQ-36V(10) Firefinder Radar,Grant Authority,1/1/2016,Army,Jordan,EDA Delivered,1/31/2019,2,2,2,0,2,20183960,1009198,-95.00%,1126,738732.936
AN/TPQ-36V(10) Firefinder Radar,AN/TPQ-36V(10) Firefinder Radar,Grant Authority,1/1/2016,Army,Jordan,EDA Delivered,1/31/2019,7,7,7,0,7,70643860,7064386,-90.00%,1126,2698595.452
VEHICULAR EQUIPMENT AND COMPONENTS,VEHICULAR EQUIPMENT AND COMPONENTS,Grant Authority,1/1/2016,Defense Logistics Agency (DLA),Israel,EDA Delivered,2/5/2019,-999,None,-999,-999,-999,1210756,363227,-70.00%,1131,53999.724
MaxxPro Recovery Vehicle (MRV),"MRAP RECOVERY VEHICLE (MRV), MAXXPRO",Grant Authority,1/1/2017,Army,Albania,EDA Delivered,2/6/2019,1,1,0,0,2,880674,88067.4,-90.00%,766,33641.7468
MaxxPro PLUS MRAP,MRAP MAXXPRO PLUS,Grant Authority,1/1/2017,Army,Albania,EDA Delivered,2/6/2019,36,36,0,0,36,24804000,2480400,-90.00%,766,947512.8
"TRUCK, VAN WOW 2 1/2 TON M1079","TRUCK, VAN WOW 2 1/2 TON M1079",Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Israel,EDA Delivered,2/7/2019,1,1,0,0,1,124607,24921.4,-80.00%,767,5158.7298
"TRUCK WRECKER, M1089","TRUCK WRECKER, M1089",Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Israel,EDA Delivered,2/7/2019,3,3,0,0,3,806976,80697.6,-90.00%,767,30826.4832
"SENSOR,RATE GYRO","SENSOR,RATE GYRO",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,2/12/2019,2,2,0,0,2,20872,6261.6,-70.00%,407,930.8912
M279A1 Hellfire II Launcher (for OH-58D),M279A1 Hellfire II Launcher (for OH-58D),Grant Authority,1/1/2017,Army,Greece,EDA Delivered,3/3/2019,53,53,0,0,51,2660441,266044.1,-90.00%,791,101628.8462
OH-58 ARMAMENT/AVIONICS/ELECTRICAL TRAINER,OH-58 ARMAMENT/AVIONICS/ELECTRICAL TRAINER,Grant Authority,1/1/2015,Army,Greece,EDA Delivered,3/11/2019,1,1,0,0,1,6000000,600000,-90.00%,1530,229200
"OH-58D AHIP, COMPOSITE MAINTENANCE TRAINER","OH-58D AHIP, COMPOSITE MAINTENANCE TRAINER",Grant Authority,1/1/2015,Army,Greece,EDA Delivered,3/11/2019,2,2,0,0,1,2680000,268000,-90.00%,1530,102376
"SH-60F, SEAHAWK, MARITIME HELICOPTER","SH-60F, SEAHAWK, MARITIME HELICOPTER",FMS Sales,1/1/2018,Navy,Spain,Service Authorized to Supply EDA,3/12/2019,2,2,0,0,0,46762270,4676227,-90.00%,435,1786318.714
"SH-60F, SEAHAWK, MARITIME HELICOPTER","SH-60F, SEAHAWK, MARITIME HELICOPTER",FMS Sales,1/1/2018,Navy,Spain,Service Authorized to Supply EDA,3/12/2019,2,2,0,0,0,46762270,21884,-99.95%,435,1637379.738
QUICK ENGINE CHANGE UNIT OIL COOLER AUGMENTATION,QUICK ENGINE CHANGE UNIT OIL COOLER AUGMENTATION,Grant Authority,1/1/2018,Air Force,Turkey,Service Authorized to Supply EDA,3/12/2019,2,2,0,0,0,553338,55333.8,-90.00%,435,21137.5116
QUICK ENGINE CHANGE UNIT OIL COOLER AUGMENTATION,QUICK ENGINE CHANGE UNIT OIL COOLER AUGMENTATION,Grant Authority,1/1/2018,Air Force,Turkey,Service Authorized to Supply EDA,3/12/2019,3,3,0,0,0,1210959,121095.9,-90.00%,435,46258.6338
"T56-A-15 ENGINE, ALLISON","T56-A-15 ENGINE, ALLISON",Grant Authority,1/1/2018,Air Force,Turkey,Service Authorized to Supply EDA,3/12/2019,5,5,0,0,0,5336630,2248399,-57.87%,435,258730.818
TELEPHONE SET,TELEPHONE SET,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Argentina,EDA Delivered,3/13/2019,25,25,0,0,25,17500,8750,-50.00%,436,892.5
MAXXPRO BASE/MEAP CAPSULES [MRAP],MAXXPRO BASE/MEAP CAPSULES [MRAP],FMS Sales,1/1/2014,Army,United Arab Emirates,EDA Delivered,3/15/2019,264,264,213,0,257,97416000,19483200,-80.00%,1899,4033022.4
CAIMAN MULTI-TERRAIN VEHICLE (MTV) [MRAP],CAIMAN MULTI-TERRAIN VEHICLE (MTV) [MRAP],FMS Sales,1/1/2014,Army,United Arab Emirates,EDA Delivered,3/15/2019,1150,542,542,0,553,842950000,168590000,-80.00%,1899,34898130
OH-58D Mast Mounted Sights,OH-58D Mast Mounted Sights,Grant Authority,1/1/2018,Army,Greece,EDA Delivered,3/16/2019,20,20,0,0,20,8716220,2614866,-70.00%,439,388743.412
